Company,Quarter,Return on Assets,Return on Equity,Return on Common Equity,Gross Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets
GS,2016-06-30,0.008,0.084,0.087,0.895,0.23,0.23,0.20600000000000002,0.204,0.0,,,,1.7,1.7,0.1,,,,,4.434,0.816,2.222,0.409,0.903
GS,2016-09-30,0.009000000000000001,0.096,0.111,0.9,0.256,0.256,0.257,0.223,0.0,,,,1.8,1.8,,,,,,4.341,0.813,2.267,0.424,0.9009999999999999
GS,2016-12-31,0.011000000000000001,0.107,0.113,0.899,0.287,0.287,0.263,0.271,0.0,,,,1.9,1.9,0.0,,,,,4.317,0.812,2.266,0.426,0.898
GS,2017-03-31,0.01,0.10300000000000001,0.114,0.8859999999999999,0.281,0.281,0.26899999999999996,0.209,0.0,,,,1.8,1.8,,,,,,4.523,0.8190000000000001,2.415,0.43700000000000006,0.902
GS,2017-06-30,0.008,0.084,0.086,0.878,0.23199999999999998,0.23199999999999998,0.20600000000000002,0.201,0.0,,,,1.8,1.8,,,,,,4.638,0.823,2.477,0.439,0.904
GS,2017-09-30,0.009000000000000001,0.098,0.10800000000000001,0.888,0.256,0.256,0.243,0.225,0.0,,,,1.9,1.9,0.0,,,,,4.8069999999999995,0.828,2.576,0.444,0.907
GS,2017-12-31,-0.008,-0.091,-0.11800000000000001,0.877,-0.24600000000000002,-0.24600000000000002,-0.27399999999999997,0.249,0.0,,,,1.9,1.9,,,,,,5.176,0.838,2.7489999999999997,0.445,0.91
GS,2018-03-31,0.012,0.136,0.153,0.8909999999999999,0.282,0.282,0.272,0.21600000000000003,0.0,,,,1.8,1.8,,,,,,5.3260000000000005,0.8420000000000001,2.8110000000000004,0.444,0.914
GS,2018-06-30,0.011000000000000001,0.11900000000000001,0.127,0.8859999999999999,0.273,0.273,0.249,0.228,0.0,,,,1.9,1.9,0.1,,,,,5.061,0.835,2.722,0.449,0.909
GS,2018-09-30,0.01,0.115,0.13,0.889,0.292,0.292,0.28300000000000003,0.23199999999999998,0.0,,,,1.9,1.9,,,,,,4.975,0.833,2.7439999999999998,0.45899999999999996,0.9079999999999999
GS,2018-12-31,0.011000000000000001,0.113,0.12,0.861,0.32299999999999995,0.32299999999999995,0.295,0.256,0.0,,,,1.9,1.8,0.1,,,,,4.569,0.82,2.572,0.462,0.902
GS,2019-03-31,0.01,0.098,0.11,0.878,0.262,0.262,0.254,0.201,0.0,,,,2.0,2.0,,,,,,4.525,0.8190000000000001,2.61,0.47200000000000003,0.9009999999999999
GS,2019-06-30,0.01,0.105,0.111,0.88,0.262,0.262,0.237,0.21600000000000003,0.0,,,,1.9,1.9,0.1,,,,,4.543,0.82,2.531,0.457,0.902
GS,2019-09-30,0.008,0.081,0.08900000000000001,0.8590000000000001,0.23399999999999999,0.23399999999999999,0.222,0.192,0.0,,,,1.9,1.9,0.1,,,,,4.876,0.83,2.467,0.42,0.907
GS,2019-12-31,0.008,0.083,0.086,0.856,0.19899999999999998,0.19899999999999998,0.17800000000000002,0.222,0.0,,,,1.8,1.7,0.4,,,,,4.931,0.831,2.403,0.405,0.907
