Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
WMT,2015-07-31,0.076,0.11599999999999999,0.179,0.179,0.251,0.07,0.05,0.05,0.03,0.028999999999999998,0.028999999999999998,0.027000000000000003,0.013999999999999999,0.016,2.4,4.1,86.7,7.9,0.9,0.2,0.3,4.2,46.6,38.6,12.3,0.605,0.377,0.529,0.33,0.5870000000000001,10.7,14.8,9.8,1.5,2.2
WMT,2015-10-31,0.071,0.107,0.166,0.16699999999999998,0.255,0.069,0.049,0.049,0.028999999999999998,0.027999999999999997,0.027999999999999997,0.027000000000000003,-0.001,0.002,2.3,4.0,91.3,7.3,0.9,0.2,0.3,4.0,50.3,38.4,16.0,0.643,0.391,0.5429999999999999,0.33,0.597,10.0,14.1,8.6,1.6,2.7
WMT,2016-01-31,0.08199999999999999,0.12300000000000001,0.228,0.22899999999999998,0.252,0.07,0.051,0.051,0.037000000000000005,0.035,0.035,0.027999999999999997,0.049,0.052000000000000005,2.6,4.4,97.5,8.2,0.9,0.2,0.8,3.8,45.1,40.1,8.8,0.607,0.37799999999999995,0.535,0.33299999999999996,0.581,11.8,16.1,10.3,1.4,2.2
WMT,2016-04-30,0.066,0.1,0.159,0.158,0.253,0.066,0.046,0.046,0.027999999999999997,0.027000000000000003,0.027000000000000003,0.024,0.071,0.07400000000000001,2.3,4.0,85.8,7.8,0.8,0.2,0.4,4.2,46.3,39.7,10.7,0.65,0.39399999999999996,0.565,0.342,0.609,9.0,13.1,9.3,1.6,2.3
WMT,2016-07-31,0.078,0.121,0.198,0.19899999999999998,0.26,0.07200000000000001,0.051,0.051,0.032,0.031,0.031,0.027999999999999997,0.035,0.038,2.4,4.2,92.4,8.1,0.9,0.2,0.5,4.0,45.2,40.5,8.7,0.608,0.37799999999999995,0.5479999999999999,0.341,0.6,10.5,14.8,10.7,1.4,1.9
WMT,2016-10-31,0.063,0.099,0.16,0.157,0.26,0.064,0.043,0.043,0.027000000000000003,0.026000000000000002,0.026000000000000002,0.023,-0.013999999999999999,-0.01,2.3,4.1,89.0,7.5,0.9,0.2,0.3,4.1,49.0,40.6,12.6,0.632,0.387,0.534,0.327,0.611,8.4,12.5,7.8,1.7,2.7
WMT,2017-01-31,0.076,0.12,0.198,0.193,0.254,0.068,0.047,0.047,0.03,0.028999999999999998,0.028999999999999998,0.025,0.054000000000000006,0.057,2.6,4.6,93.7,8.4,0.9,0.2,0.7,3.9,43.7,42.7,4.9,0.578,0.366,0.53,0.336,0.595,10.6,15.2,9.8,1.3,2.0
WMT,2017-04-30,0.066,0.105,0.161,0.16,0.254,0.066,0.045,0.045,0.027000000000000003,0.026000000000000002,0.026000000000000002,0.024,0.07,0.073,2.4,4.1,84.8,8.1,0.8,0.2,0.3,4.2,43.8,41.9,6.2,0.619,0.382,0.534,0.33,0.619,8.8,13.0,9.7,1.5,2.0
WMT,2017-07-31,0.07400000000000001,0.11900000000000001,0.16,0.155,0.258,0.07,0.048,0.048,0.025,0.024,0.024,0.026000000000000002,0.016,0.019,2.5,4.3,92.7,8.4,0.8,0.2,0.3,4.0,43.6,42.1,5.5,0.607,0.37799999999999995,0.516,0.321,0.608,9.7,14.0,10.0,1.4,1.9
WMT,2017-10-31,0.06,0.096,0.096,0.092,0.257,0.061,0.04,0.04,0.015,0.013999999999999999,0.013999999999999999,0.021,0.005,0.008,2.4,4.3,87.5,7.8,0.8,0.2,0.3,4.2,47.0,42.1,9.1,0.637,0.389,0.523,0.319,0.623,8.4,13.0,8.7,1.7,2.5
WMT,2018-01-31,0.07400000000000001,0.11900000000000001,0.11800000000000001,0.113,0.247,0.065,0.045,0.045,0.017,0.016,0.016,0.024,0.048,0.051,2.6,4.7,95.0,8.7,0.8,0.2,0.6,3.9,42.1,44.8,1.2,0.5770000000000001,0.366,0.45799999999999996,0.29,0.605,11.4,16.5,10.6,1.3,2.1
WMT,2018-04-30,0.063,0.102,0.114,0.111,0.253,0.064,0.042,0.042,0.019,0.017,0.017,0.023,0.057999999999999996,0.061,2.4,4.3,96.4,8.4,0.7,0.2,0.3,3.7,42.3,44.2,1.7,0.595,0.373,0.467,0.293,0.618,9.7,14.8,11.3,1.5,1.9
WMT,2018-07-31,0.07,0.114,-0.038,-0.047,0.254,0.066,0.045,0.045,-0.006,-0.006999999999999999,-0.006999999999999999,0.024,0.023,0.026000000000000002,2.5,4.5,107.0,9.0,0.9,0.3,0.3,3.4,41.1,42.8,1.7,0.7340000000000001,0.423,0.7040000000000001,0.406,0.642,10.4,15.2,10.7,1.6,2.3
WMT,2018-10-31,0.057999999999999996,0.09300000000000001,0.095,0.096,0.254,0.061,0.04,0.04,0.015,0.013999999999999999,0.013999999999999999,0.012,-0.015,-0.012,2.3,4.5,92.6,8.1,0.8,0.2,0.3,4.0,45.6,42.1,7.5,0.773,0.436,0.634,0.35700000000000004,0.649,8.4,12.8,8.2,2.0,3.2
WMT,2019-01-31,0.07,0.11199999999999999,0.192,0.204,0.244,0.065,0.045,0.045,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.024,0.034,0.037000000000000005,2.5,5.0,92.0,8.9,0.8,0.2,0.5,4.0,41.5,45.1,0.4,0.7340000000000001,0.423,0.636,0.36700000000000005,0.637,9.3,13.4,8.4,1.6,2.6
WMT,2019-04-30,0.054000000000000006,0.086,0.20199999999999999,0.218,0.249,0.062,0.04,0.04,0.032,0.031,0.031,0.022000000000000002,0.054000000000000006,0.057,2.2,4.2,85.3,8.4,0.8,0.2,0.2,4.2,42.6,43.9,2.9,1.013,0.503,0.9,0.447,0.6809999999999999,7.3,12.6,9.3,2.2,3.0
WMT,2019-07-31,0.059000000000000004,0.092,0.19399999999999998,0.20800000000000002,0.249,0.064,0.043,0.043,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.023,0.016,0.019,2.2,4.2,97.3,8.8,0.8,0.2,0.4,3.8,41.8,43.0,2.5,0.977,0.494,0.843,0.426,0.672,8.7,14.2,10.1,2.1,2.9
WMT,2019-10-31,0.053,0.08199999999999999,0.171,0.185,0.251,0.06,0.039,0.039,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.021,-0.016,-0.013000000000000001,2.2,4.1,93.1,8.0,0.8,0.2,0.2,4.0,45.9,42.6,7.3,0.978,0.495,0.835,0.42200000000000004,0.6729999999999999,7.9,13.6,9.0,2.2,3.4
